no,question,a,b,c,d,answer
521,What technique is used to perform a Connection Stream Parameter Pollution (CSPP) attack?,Injecting parameters into a connection string using semicolons as a separator,Inserting malicious Javascript code into input parameters,Setting a user's session identifier (SID) to an explicit known value,Adding multiple parameters with the same name in HTTP requests,A
522,You have successfully comprised a server having an IP address of 10.10.0.5. You would liketo enumerate all machines in the same network quickly.What is the best nmap command you will use?,nmap -T4 -F 10.10.0.0/24,nmap -T4 -r 10.10.1.0/24,nmap -T4 -O 10.10.0.0/24,nmap -T4 -q 10.10.0.0/24,A
523,Suppose you've gained access to your client's hybrid network. On which port should youlisten to in order to know which Microsoft Windows workstations has its file sharing enabled?,1433,161,445,3389,C
524,The company ABC recently discovered that their new product was released by theopposition before their premiere. They contract an investigator who discovered that the maid threwaway papers with confidential information about the new product and the opposition found it in thegarbage. What is the name of the technique used by the opposition?,Hack attack,Sniffing,Dumpster diving,Spying,C
525,"When you return to your desk after a lunch break, you notice a strange email in your inbox.The sender is someone you did business with recently, but the subject line has strange characters init.What should you do?",Forward the message to your company's security response team and permanently delete themessage from your computer.,Reply to the sender and ask them for more information about the message contents.,Delete the email and pretend nothing happened,Forward the message to your supervisor and ask for her opinion on how to handle the situation,A
526,Which of the following is a symmetric cryptographic standard?,DSA,PKI,RSA,3DES,D
527,"In this attack, a victim receives an e-mail claiming from PayPal stating that their account hasbeen disabled and confirmation is required before activation. The attackers then scam to collect notone but two credit card numbers, ATM PIN number and other personal details. Ignorant users usuallyfall prey to this scam.Which of the following statement is incorrect related to this attack?",Do not reply to email messages or popup ads asking for personal or financial information,Do not trust telephone numbers in e-mails or popup ads,Review credit card and bank account statements regularly,"Antivirus, anti-spyware, and firewall software can very easily detect these type of attacksE. Do not send credit card numbers, and personal or financial information via e-mail",D
528,ICMP ping and ping sweeps are used to check for active systems and to check,if ICMP ping traverses a firewall.,the route that the ICMP ping took.,the location of the switchport in relation to the ICMP ping.,the number of hops an ICMP ping takes to reach a destination.,A
529,"While conducting a penetration test, the tester determines that there is a firewall betweenthe tester's machine and the target machine. The firewall is only monitoring TCP handshaking ofpackets at the session layer of the OSI model. Which type of firewall is the tester trying to traverse?",Packet filtering firewall,Application-level firewall,Circuit-level gateway firewall,Stateful multilayer inspection firewall,C
530,"A penetration tester is conducting a port scan on a specific host. The tester found severalports opened that were confusing in concluding the Operating System (OS) version installed.Considering the NMAP result below, which of the following is likely to be installed on the targetmachine by the OS? ",The host is likely a printer.,The host is likely a Windows machine.,The host is likely a Linux machine.,The host is likely a router.,A
